FEN,Movimientos
r7/1k5p/5R2/1rp1B3/2b5/p7/5PPP/3R2K1 b - - 7 35,a3a2 d1d7 b7c8 d7c7 c8d8 f6f8
6k1/p4ppp/8/2P1q3/8/6n1/Pr2BPPP/R1Q2K1R w - - 4 32,h2g3 e5e2 f1g1 e2f2 g1h2 f2g2
4rrk1/3p1pp1/p2P3p/1p6/1P3B2/P1NQ1b2/B4qPP/R6K w - - 0 24,d3f3 e8e1 a1e1 f2e1 f3f1 e1f1
3r3k/6rp/p3R3/8/5Q2/5P1P/Pq6/5R1K w - - 1 36,f1g1 g7g1 h1g1 d8d1 e6e1 d1e1
4r1k1/2B2ppp/8/4Rn2/8/3r3P/5P2/R5K1 b - - 0 31,e8e5 a1a8 d3d8 a8d8 e5e8 d8e8
4Nb2/5pkp/6p1/1p4N1/8/1Pr1P2P/6PK/8 b - - 4 35,g7h6 g5f7 h6h5 e8f6 h5h4 g2g3
3k1r2/RR5p/1n4p1/1B2p3/4P1b1/2N1P3/1Pr3PP/6K1 w - - 3 22,b7b6 c2c1 c3d1 c1d1 b5f1 d1f1
r1bqkbnr/pppp1ppp/2n5/3NP3/2BP4/5Q2/PPP2PPP/R1B1K2R b KQkq - 6 9,c6d4 d5c7 d8c7 f3f7 e8d8 f7f8
2k4q/pp1n1pp1/2pBp1p1/4P3/3P2nr/2P1R3/P4PB1/R2Q2K1 w - - 8 21,e3g3 h4h1 g2h1 h8h2 g1f1 h2f2
r2r2k1/5ppp/1q2p3/ppp1P2Q/4P3/8/PPP3PP/R4R1K b - - 2 17,d8d4 h5f7 g8h8 f7f8 a8f8 f1f8
3r3k/p2q1pp1/Q6p/1pr5/3N4/P1N1P1P1/1P3PP1/3R2K1 w - - 5 27,d4b5 d7d1 c3d1 d8d1 g1h2 c5h5
8/pp2qp2/3r1n1k/2bP1Q2/7R/2P5/PP3pP1/5R1K b - - 1 29,h6g7 f5g5 g7f8 h4h8 f6g8 g5g8
