FEN,Movimientos
r5k1/ppp2p2/6rp/3pPQ2/5P2/1Pq4P/P5PK/R3R3 w - - 1 25,e5e6 c3g3 h2g1 g3g2
1k5r/3R4/1pP1BQp1/1q3P2/5bPp/1KP4P/8/8 w - - 11 46,b3a3 f4c1 a3a2 b5b2
rn2k2r/pp3pp1/2p1p2p/8/2BPN1nP/4BN1q/PPP2P1b/R2Q1R1K w kq - 0 16,f3g1 h2g1 h1g1 h3h2
r5k1/pp4pb/2pq3p/3p1p2/3P1rBP/2N5/PPP1QP2/R4R1K w - - 0 24,g4f3 f4h4 h1g1 d6h2
r5k1/4nrpp/1q2p3/3p1p1Q/p2P1P2/Pp2P1R1/1B3P1P/5KR1 b - - 3 29,e7c8 g3g7 f7g7 h5e8
1R6/5p2/r7/8/4P3/1bkP1P2/1N4PP/1K6 w - - 9 39,h2h4 b3c2 b1c1 a6a1
2r3r1/1p3p1k/p1n1pBB1/3p1bQ1/8/2Pq3P/PP3PP1/R3R1K1 b - - 0 25,f5g6 g5h4 g6h5 h4h5
2R3k1/5pp1/2p4p/8/4PpQ1/1P2q2P/1PP3K1/r7 b - - 3 37,g8h7 g4f5 g7g6 f5f7
r1b3kb/5pnp/p1p2BN1/8/q5PQ/3N4/5P1P/4R1K1 b - - 0 28,h7g6 e1e8 g7e8 h4h8
8/1R3pk1/7p/4n1p1/8/3PP1PP/1R2nPK1/4r3 w - - 1 37,d3d4 e1g1 g2h2 e5f3
4Q3/pb4pk/2p5/1pP5/4B3/PP2n1PP/7K/4q3 b - - 10 35,g7g6 e8g6 h7h8 g6h7
2k5/1ppr1p1b/pbnp3Q/3Pp1B1/4q3/1BP5/PP4PK/R7 b - - 0 23,c6a5 h6f8 d7d8 f8d8
4r2k/8/p1p2p2/6p1/1P1R3r/P5QB/4qPP1/3R2K1 w - - 10 36,h3g4 e2e1 d1e1 e8e1
3r1r2/1pp3pk/pq5p/4p2Q/4P3/P1P3RP/1P4P1/4R2K b - - 5 30,b6f2 h5g6 h7h8 g6g7
1b4rk/1Q4p1/p5Pn/3P1p2/4q3/2P4R/6R1/7K b - - 6 41,a6a5 h3h6 g7h6 b7h7
8/7p/8/2pPnkp1/2P5/5P1q/1Q3P1P/r4BK1 w - - 2 39,b2a1 e5f3 g1h1 h3h2
b5rk/r5p1/3p1pQp/2pPpP2/P1Pq4/7R/P5PP/5R1K b - - 0 44,a7a4 h3h6 g7h6 g6h6
r5k1/ppp2ppp/8/5q2/6b1/3Br3/PPPN1NQP/2K5 w - - 0 22,d3f5 e3e1 f2d1 e1d1
3QQ3/p6p/6pk/3P1p2/4qP2/4b2P/P4K2/7R w - - 0 37,f2g3 e4f4 g3g2 f4f2
8/6pk/P5p1/8/2Q3n1/2P4q/1P3B2/6K1 w - - 0 36,a6a7 h3h2 g1f1 h2f2
3r1rk1/pp2bpp1/1q2pn2/2n3NN/2P2B1p/1P6/P1Q2PPP/3RR1K1 b - - 1 18,d8d1 h5f6 g7f6 c2h7
8/5R1p/6pk/3Bb3/6PP/5K2/3r4/8 b - - 0 43,d2d5 g4g5 h6h5 f7h7
1Q6/p2p3p/kp1Bp3/5p2/8/2q5/P1P2PPP/R3R1K1 w - - 2 25,e1e3 c3a1 e3e1 a1e1
4r1k1/ppQ3pp/4p3/2Pp4/8/2P1R2P/3q1RP1/6K1 b - - 0 23,d2e3 c7f7 g8h8 f7e8
r3qk2/pQ1nr3/5bpp/8/8/N1PR4/PP3PPP/3R2K1 w - - 3 20,d3d7 e7e1 d1e1 e8e1
8/pp1b1P2/2k1p3/3p4/5B2/P7/1RP1qp2/2K4R w - - 2 39,f7f8q e2e1 h1e1 f2e1q
2rr4/4k1pp/4p3/1p2P3/1R6/n4N2/5PPP/2R3K1 w - - 6 26,c1c8 d8d1 f3e1 d1e1
2k5/ppp3p1/8/1P2P1p1/3RQp2/2P1nP2/P2K2Pr/5r2 w - - 4 34,d2d3 f1d1 d3e2 h2g2
1k5r/1b1R4/1p1p1p1p/3Pp2P/4P3/1B3q2/PK6/2Q5 b - - 1 34,f3e4 c1c7 b8a7 c7b7
r2qkbnr/pp5p/2ppB3/4p1p1/4PP2/3P4/PPP2P1P/R2QK2R b KQkq - 0 11,e5f4 d1h5 e8e7 h5f7
2r3k1/1R3p1p/6p1/3Q1b2/8/3p3P/p5PK/2q5 b - - 3 39,a2a1q d5f7 g8h8 f7h7
r5k1/2pq2r1/1p1p1Q2/1N1Pp2B/p1P1Pp2/P7/1P4b1/6RK w - - 4 42,g1g2 d7h3 g2h2 h3f1
8/6pk/5p2/5P2/r5P1/6K1/8/1R6 b - - 2 48,h7h6 b1h1 h6g5 h1h5
r6k/8/2pp1Qp1/6P1/3P4/8/pqB1KP2/8 b - - 2 41,h8h7 f6g6 h7h8 g6h7
8/p6p/2p1Q1pk/8/6K1/6P1/PP3q1P/8 w - - 0 37,e6c6 f2f5 g4h4 f5h5
8/5ppk/prp2p2/3p4/3P4/6qb/PPP1Q1N1/4R1K1 b - - 3 26,h3g2 e2h5 h7g8 e1e8
7k/3n1Qp1/p1n3PP/1p2pPq1/1P1pP3/P2P1B2/5K2/8 b - - 2 39,g5h6 f7e8 d7f8 e8f8
k2r4/p1Q1b1r1/4p1n1/3q1p2/PR5p/8/1P1N1PPP/2R3K1 b - - 1 33,h4h3 c7c8 d8c8 c1c8
r2q1rk1/p1p2p2/1p2pP1p/3p2p1/7B/2PP4/P4PPP/R2QR1K1 b - - 0 15,g5h4 d1g4 g8h7 g4g7
b5rk/6p1/qNpQR2p/5p2/3P4/5P2/1P4PP/6K1 b - - 1 32,a6b6 e6h6 g7h6 d6h6
r2k1b1r/pp5p/5pn1/3Ppb2/1nP5/4B3/PP2Q1PP/1K1R1BNR w - - 2 18,b1c1 b4a2 c1d2 f8b4
8/7p/1p6/8/Pq5P/1Pp1Q3/2P2Rbk/2K5 w - - 1 45,e3e2 b4a3 c1b1 a3b2
4k1r1/1p2bp2/p4p2/4p3/2r3qp/1Q6/PP3P1B/R3RB1K w - - 0 23,b3c4 g4f3 f1g2 f3g2
3r4/4pPkp/p5p1/1pp5/5N2/3BP3/qPP3P1/2K2R2 b - - 1 25,d8d3 f4e6 a2e6 f7f8q
r3k3/ppQn1pp1/2p3r1/4p2p/1B2P3/5P1q/PP5P/3RRBK1 w q - 6 21,g1h1 h3f3 f1g2 f3g2
r5k1/p4ppp/8/6q1/1b1pQ3/8/PP3PPP/4R1K1 b - - 0 20,b4e1 e4a8 g5d8 a8d8
2rQ2k1/1p3rpp/4N3/4p2q/4P3/8/PbP2PPP/3R1RK1 b - - 3 22,c8d8 d1d8 f7f8 d8f8
4kr2/5n2/1Q6/p4P2/8/P3P2P/3P1RK1/3q4 w - - 11 46,f5f6 f8g8 g2h2 d1g1
8/5R1p/1p4pk/p1p5/5PP1/r1P4P/6K1/8 b - - 0 39,a3c3 g4g5 h6h5 f7h7
rnb1k1nr/ppNp1ppp/1b6/4p3/2B1P2q/5Q2/PPPP1PPP/R1B1K1NR b KQkq - 0 6,b6c7 f3f7 e8d8 f7f8
8/2P4p/3Q2nk/8/2P3P1/P1r5/4r3/6K1 w - - 1 61,c7c8q c3c1 d6d1 c1d1
r2r2k1/5p1p/p1p1p1pQ/4P3/2qnNP1P/b7/1P4P1/R4R1K b - - 1 27,a3f8 e4f6 g8h8 h6h7
6k1/ppq2pp1/2p4p/P2p1b2/1P1P1b2/2PQ1B1P/5PP1/4rRK1 w - - 0 26,d3f5 f4h2 g1h1 e1f1
