FEN,Movimientos
6k1/pp4pp/4p3/2qpn3/8/2N3RP/PP3rP1/4Q2K w - - 1 23,e1e5 f2f1 h1h2 c5g1
7r/3Rnkp1/p4pp1/2Q1p3/4P1P1/2P1BN2/P4P2/1q4K1 w - - 6 32,g1g2 b1h1 g2g3 h8h3
rn3b1r/pp2k3/2p3n1/4p1pp/2B1P3/5P1P/PPP2P2/R1BR2K1 b - - 0 15,g5g4 c1g5 e7e8 d1d8
6k1/ppr3p1/2p2NR1/4qp2/8/7P/PP2p3/6RK b - - 1 38,g8h8 g6h6 g7h6 g1g8
5r1k/p3Nppp/8/4Q3/8/8/Prq2PPP/R3R1K1 w - - 0 23,a1c1 c2f2 g1h1 f2g2
5r1k/5p1p/3p2p1/Q1pB4/4PPbq/2P5/Pr4PP/R3R1K1 w - - 3 26,c3c4 h4f2 g1h1 f2g2
r2q2k1/1pp2p1p/3p2p1/p2P4/1PPb4/P2B1N1b/2Q2P2/4R1K1 w - - 0 23,f3d4 d8g5 g1h2 g5g2
rn3r1k/pb2qBpp/1ppb2N1/8/3P4/2N1PQ2/PPP3PP/R4RK1 b - - 2 14,h7g6 f3h3 e7h4 h3h4
5rk1/2p1b1p1/2qpP1P1/p7/1p3B2/7Q/PPP2rRP/6RK b - - 6 28,f8f4 h3h7 g8f8 h7h8
k3r3/pp1q1bp1/2pB1p1p/2P2P2/Q3pRP1/P7/1PP5/2K5 b - - 2 30,e4e3 a4a7 a8a7 f4a4
8/p7/8/2p3PR/2P1p3/kPKp4/P2R2P1/5r2 w - - 2 39,g5g6 f1c1 d2c2 c1c2
r7/1p2kp1p/p3bp1Q/2qpp3/3n4/PB1P2PP/2P3P1/R5KR w - - 1 21,g1h2 d4f3 g2f3 c5f2
r5kR/1b3p2/p3pPp1/3pP1Q1/Pq1r4/8/6PP/R2B2K1 b - - 0 31,g8h8 g5h6 h8g8 h6g7
4r1k1/1b3Rpp/1p2N3/8/p1P5/7r/6P1/5RK1 b - - 1 34,h3e3 f7f8 e8f8 f1f8
6k1/2p3p1/4p2p/2P1N3/3Ppn2/1Q6/4qP1P/6KR w - - 0 28,h2h4 e2e1 g1h2 e1f2
r1b1k2r/p2p1ppp/1pq2n2/P3p3/1P2P3/N1Pn1P2/B2P2PP/R1BQ2KR w kq - 2 19,b4b5 c6c5 g1f1 c5f2
rnb2k2/ppqn1p1B/5p1p/8/3pQb2/2P2N2/PP3PPP/1K2R3 b - - 1 20,d4c3 e4e8 f8g7 e8g8
1R1r2k1/5pp1/p3p2p/2p1PP2/2P3P1/q4Q2/7P/3R2K1 b - - 0 28,a3f3 d1d8 g8h7 d8h8
rn2kr2/1P2n2R/6p1/8/8/2Q5/1PP2PP1/q1NK4 b - - 1 25,a8a5 c3c8 e7c8 b7c8q
2R5/p5kp/1n1q1bp1/1p1Np3/1P2Q3/P7/1B3PPP/6K1 w - - 1 26,d5f6 d6d1 e4e1 d1e1
6k1/2q2pbp/p1r1p1p1/8/RBpP1P1Q/2P4P/P1r3P1/4R1K1 b - - 6 30,c7b7 h4d8 g7f8 d8f8
7r/p5p1/2k1pn2/3p3r/2pP4/1PN1BPq1/P4R1P/2R3K1 w - - 0 28,h2g3 h5h1 g1g2 h8h2
r7/pp3ppk/3N3p/3p1N2/1P3P2/8/P3rn1P/5KR1 b - - 9 29,e2a2 g1g7 h7h8 d6f7
5k2/3NR3/4K3/8/2P5/2n4P/1r6/3q4 b - - 3 52,f8g8 d7f6 g8h8 e7h7
8/pR5p/2p3pk/8/rP3KPP/8/8/8 b - - 0 35,a4a1 g4g5 h6h5 b7h7
2r4k/5p1p/3pq3/Q7/2P3R1/P6P/KP6/8 b - - 4 31,c8c4 a5d8 e6e8 d8e8
8/4pkqP/4bb2/2p4B/5Q2/4P1B1/5PPK/r7 b - - 10 41,f7f8 f4b8 e6c8 b8c8
5b1r/p1P1kppp/1q6/4p3/Q7/8/Pr3PPP/RN2K1NR w KQ - 1 17,c7c8q b6f2 e1d1 f2f1
r2q2kr/4b1pp/p1Q1Bn2/1pn3N1/2p5/P7/1PP3PP/R1B1K2R b KQ - 7 20,c5e6 c6e6 g8f8 e6f7
5rk1/p3p2p/4bnBP/2pp2Q1/3q2P1/1P6/1PP5/1K5R b - - 0 29,h7g6 g5g6 g8h8 g6g7
4r1k1/p2Q1pp1/3b2bp/2pP4/8/1B3N1P/P3qPP1/3R2K1 w - - 5 32,d1e1 e2e1 f3e1 e8e1
r5rk/2pb1p1p/5PpQ/3pP3/p1qR4/2Pp4/2P3PP/4R1K1 b - - 0 28,c4c3 h6h7 h8h7 d4h4
r2q1rkn/1p1b2p1/p2b1n2/3NpPN1/2ppP3/7Q/PPPB2PP/R4RK1 b - - 1 19,h8f7 d5f6 g7f6 h3h7
1r2r1k1/1pb3p1/pN1q3p/P1p5/3P4/Q4n1P/5PP1/RR2B1K1 w - - 0 27,a3f3 d6h2 g1f1 h2h1
2r5/p2R4/1p3Bp1/5p1k/8/2P2P1r/P4P1P/7K b - - 4 32,h3f3 d7h7 h5g4 h7h4
7k/1Qp5/pp1p4/4p1p1/1P5p/P1P4P/6P1/r4rBK w - - 5 34,b7c7 f1g1 h1h2 g1h1
6nr/1pk1b1pp/p1p1p3/P3P3/1P2p3/4B3/5PPP/3R2K1 b - - 0 20,e7b4 e3b6 c7c8 d1d8
7k/7P/6P1/6K1/8/8/b7/8 b - - 10 69,a2b3 g5h6 b3d1 g6g7
3r1k1r/p2qp1b1/2pRQpp1/2B4p/8/1B6/PPP2PPP/4R1K1 b - - 0 23,e7d6 c5d6 d7d6 e6f7
r5r1/pppk1pP1/2n1qB2/2b2b1Q/2p5/2Pp1N2/PP1N1PPP/R3K2R w KQ - 5 16,e1f1 e6e2 f1g1 e2f2
3r1rk1/pppB1p1p/5p2/3P1Q2/4R3/2P2K2/q1n2PPP/8 b - - 5 21,a2b3 e4g4 g8h8 f5f6
3r2k1/p7/2N4p/6p1/4p2n/2B4P/Pr6/5R1K b - - 1 32,b2c2 c6e7 g8h7 f1f7
4Q3/p5pk/3p2r1/P3p3/4P2p/5rqP/2P3P1/1R4RK w - - 0 32,b1b8 g3h3 g2h3 f3h3
8/2R4p/2p3pk/1p6/1P3PP1/7P/r7/3bK3 b - - 1 37,d1f3 g4g5 h6h5 c7h7
3k4/1p2r3/p4p2/2pP4/P5p1/2N5/1PP3PP/5R1K w - - 0 29,f1f6 e7e1 f6f1 e1f1
1k6/2p4R/1p4p1/p2p2N1/5P2/r4B2/8/bK6 b - - 0 45,d5d4 h7h8 b8a7 h8a8
2Q5/6pk/3p3p/2B2p1r/7q/P4P1P/1P3P1K/3R1R2 w - - 0 28,f1h1 h4h3 h2g1 h3h1
r2r2k1/p4ppp/B7/2P1B3/4Q3/P3P2P/2pq1PP1/R4K1R w - - 0 21,e5b2 d2d1 a1d1 c2d1q
2r2rk1/pp1qnpb1/8/6p1/8/Q1P5/PP3PPP/R1B1R1K1 w - - 0 20,e1e7 d7d1 e7e1 d1e1
4r3/pp2Pkpp/2p5/6r1/3PQ3/2q4P/P1P3K1/3RR3 w - - 6 32,g2h2 c3g3 h2h1 g3h3
KR6/3q2p1/1P5p/6kP/8/5B2/6P1/8 w - - 11 57,f3b7 d7a4 b7a6 a4a6
8/8/7p/5n2/1R4P1/5Pk1/r7/6K1 w - - 0 43,g4f5 a2a1 b4b1 a1b1
6k1/4bppp/4p3/3pP1N1/1ppq1PPP/r7/2Q1B1K1/7R b - - 1 24,d4f4 c2h7 g8f8 h7h8
3rr1k1/1ppn1p2/1p1p2pP/3Q4/8/2P1q3/PP4RP/5R1K b - - 1 29,e3e4 d5f7 g8h8 f7g7
R3Q3/4n3/1p1pkr2/p3p3/4P3/1N2q3/PPP5/1K5R w - - 6 34,h1h7 f6f1 b3c1 e3c1
B5k1/2p4p/5p1B/1p6/3p4/1P1P4/2q1RKPP/q7 b - - 1 27,c2d3 a8d5 g8h8 e2e8
7k/5Qpp/1p1P4/8/p4P2/q5PK/8/8 b - - 0 46,a3d6 f7e8 d6f8 e8f8
rnbq1bnr/ppp4p/k7/3p3Q/P2Pp3/8/1PPN1PPP/RNB1K2R b KQ - 2 11,g8f6 h5e2 b7b5 e2b5
3r2k1/4Rpb1/p1N5/4N3/4b1P1/2P4P/PP6/1K6 w - - 7 38,b1c1 g7h6 g4g5 h6g5
1k3r2/pp5p/3p2p1/4b3/8/1QN5/PPP3PP/6qK w - - 0 28,h1g1 e5d4 g1h1 f8f1
r4r1k/1p1b1pp1/p2p3N/7Q/3q4/3B1P2/2PK2PP/3R3R b - - 0 22,g7h6 h5h6 h8g8 h6h7
r4r2/p4p1k/bp3P1p/3pN1p1/4n3/1N3R1R/PPP3PP/7K b - - 4 26,f8g8 h3h6 h7h6 f3h3
2k4r/2r2pp1/7p/3PQ3/5B2/2Nq1PbP/PP6/R4K1R w - - 5 27,c3e2 d3f3 f1g1 f3f2
Q5R1/p3pp1p/4bbpk/8/8/2q5/P1P2PPP/4R1K1 w - - 0 24,e1e6 c3a1 e6e1 a1e1
1k5r/1pp2p2/4b3/Q2q3p/8/P2BP2P/1PP3r1/1K1R3R w - - 0 23,a5c3 d5a2 b1c1 a2a1
8/R7/5pkp/4rp2/7P/2r2BK1/6P1/8 b - - 3 46,e5e6 h4h5 g6g5 a7g7
5k2/2p2b1p/1pN2pp1/3P4/2P1P1P1/r3K2P/8/4R3 w - - 2 35,e3f4 g6g5 f4f5 a3f3
r4rk1/1p1b3p/p2p4/3P2Q1/4pR2/8/q5PP/5R1K b - - 1 23,g8h8 f4f8 a8f8 f1f8
6k1/p1p3p1/1qp5/7p/4NBn1/3P2P1/PPP2r2/R2Q2K1 w - - 4 20,e4f2 b6f2 g1h1 f2h2
4b1N1/7p/3K1pk1/3P4/8/1pr5/p7/6R1 b - - 1 45,g6f7 g8h6 f7f8 g1g8
3rk2r/pRp2p1p/2n3pb/8/8/B1p2NQ1/P1P2PPP/1K2q3 w k - 0 18,f3e1 d8d1 a3c1 d1c1
2r1kb1r/1R2nQp1/2n5/p2pP3/2pP4/P1P5/3q3P/5R1K b - - 1 24,e8d8 f7f8 h8f8 f1f8
2r3k1/1Q4pp/4p3/p2p4/8/P6P/1Pr1qPP1/R2R2K1 w - - 1 27,b7d7 e2f2 g1h2 f2g2
r4R1k/p5bP/2pp2Qq/4p3/4p3/8/PPP3PP/5R1K b - - 5 28,a8f8 f1f8 g7f8 g6g8
8/R6p/6pk/5p2/5KP1/5p1P/1r6/8 b - - 0 46,f3f2 g4g5 h6h5 a7h7
5Q2/3r3p/4pppk/1p6/5P2/4P2P/2p3PK/q7 b - - 1 39,h6h5 g2g4 h5h4 f8h6
1k1r4/1bpp4/1qn2p2/3B2pp/4P3/5N2/Q5PP/R6K b - - 1 25,c6b4 a2a8 b7a8 a1a8
2r3k1/1R4pb/p4p1p/7Q/q3p3/3r2NP/5PP1/5RK1 b - - 1 38,c8d8 h5f7 g8h8 f7g7
3rQ1k1/1bp2rpq/p5N1/1p4p1/8/7P/PP3bP1/R3R2K b - - 1 30,d8e8 e1e8 f7f8 e8f8
5rk1/1pp4p/3p1qp1/3P4/1p2P3/4Q1Pb/PPN1P2P/R5K1 w - - 5 25,e3d4 f6f1 a1f1 f8f1
8/4R2p/6p1/3k1p2/8/r1n1B2P/5PP1/5K2 w - - 7 35,e7h7 a3a1 e3c1 a1c1
rb2r1k1/1pq2p2/p4Q2/8/8/N2B1n2/PP3PPP/R2R2K1 w - - 1 32,f6f3 c7h2 g1f1 h2h1
8/8/2R4p/P5pk/8/r6P/6PK/8 b - - 6 40,a3a5 g2g4 h5h4 c6h6
rr6/p2b1p1k/2p1pP1B/2bpP1Np/8/2q5/P1P2P1P/R5RK b - - 3 19,h7h6 g5f7 h6h7 g1g7
5r2/2R3k1/pp2p1p1/4P2p/4qr1R/6Q1/8/6K1 b - - 1 44,g7h6 h4h5 g6h5 g3g7
6k1/pp2Qppp/1n3n2/3pqN2/8/1P2PP1P/P1r3P1/R2R2K1 b - - 2 27,e5f5 e7d8 f6e8 d8e8
3r2k1/pp4p1/5r1p/8/4Q3/NPP1BnqP/1P4P1/5RK1 w - - 1 27,f1f3 d8d1 f3f1 d1f1
8/1R5p/1p1r2pk/2p5/2P3PP/5K2/4n3/8 b - - 7 46,e2c3 g4g5 h6h5 b7h7
6r1/pp1r1p1k/1q3Pp1/2p1p1Rp/7P/1P2P3/PP2Q1P1/5R1K b - - 3 25,d7d6 g5h5 g6h5 e2h5
3q4/5ppk/1Rrr4/P3p2p/8/8/1Q3PPP/1R4K1 w - - 4 30,b6b8 d6d1 b1d1 d8d1
2kr3r/pp3pp1/2p5/5q2/2PpR3/3P3p/PP1B1PPK/R2Q4 w - - 0 20,g2g3 f5f2 h2h1 f2g2
2r1r1k1/pp3ppp/4bb2/1N6/2P5/1P3N2/P3KPPP/2RR4 w - - 8 19,b5d6 e6c4 e2d2 e8e2
r4rk1/ppb2ppp/2pq1n2/3p4/8/1P2PB2/PBP1QPPP/R2R2K1 w - - 6 15,c2c4 d6h2 g1f1 h2h1
5krQ/2p2p2/p7/6p1/3P2P1/bPP1q3/2K5/5RR1 w - - 4 34,h8f6 e3e2 c2b1 e2b2
5r2/1pq2pk1/3p2pp/1P6/6N1/2P1Q2P/6P1/1N5K b - - 2 28,h6h5 e3h6 g7g8 g4f6
r3k2r/3n1p1p/p2Bpqp1/1PP5/3P1n2/3B1b1P/2Q2PP1/2R1R1K1 w kq - 0 22,g2f3 f6g5 g1f1 g5g2
2b1k2r/3p1ppp/8/1BB1p3/1PP5/r1n5/5PPP/4R1K1 b k - 1 23,h7h5 e1e5 e8d8 c5b6
6k1/3b1ppp/p7/1p1r4/3r3P/P4P2/1P3KP1/2R1R3 b - - 3 26,d4h4 c1c8 d7c8 e1e8
rn4k1/ppp1q1pp/3p4/4p1B1/4P1B1/3P4/PPn3PP/R4QK1 b - - 1 15,e7g5 g4e6 g8h8 f1f8
8/3kp3/Q1np2p1/5qb1/1p1P4/4K3/PP4P1/4RR2 w - - 7 31,e3e2 c6d4 e2d1 f5b1
6k1/5pp1/r2p1np1/6N1/1p1P4/RR5P/2P3PK/8 b - - 0 32,b4a3 b3b8 f6e8 b8e8
4rrk1/ppp3pp/2n5/3p4/8/QBN1K1Pb/PPPP3P/R1B4R w - - 7 15,c3e4 e8e4 e3d3 f8f3
3r2k1/pQp2ppp/7r/2P1p3/8/P2n1BPq/1B3P2/R2R2K1 w - - 2 27,b2e5 h3h2 g1f1 h2f2
4r1k1/1pq1rppp/2p5/p1Np4/3P4/5Q1P/PPPn1PP1/R3R1K1 w - - 3 22,f3c3 e7e1 a1e1 e8e1
6k1/2R2pp1/3Q3p/1P1bp1q1/8/4PP2/4B1PP/r5K1 w - - 5 33,g1f2 g5h4 g2g3 h4h2
4rr1k/p1p3pp/6n1/3q4/PP1P4/2P2p1P/3NQP2/R3R1K1 w - - 0 24,e2e8 d5g5 g1f1 g5g2
3R1q1k/5p2/1pB2P1p/r4bpQ/p7/2P4P/2P3P1/7K b - - 8 30,f8d8 h5h6 f5h7 h6g7
q3r1k1/3R1p1p/6pP/p7/1p6/1B2B3/PPPK1P2/8 b - - 2 33,e8d8 b3f7 g8h8 e3d4
2r1r1k1/5p1p/p5p1/1q2P1Nn/3p4/3R1Q1P/P5P1/3R2K1 b - - 0 29,b5e5 f3f7 g8h8 f7h7
r6r/4p1k1/pp2Pp2/2p1qPp1/P2p2P1/1P1B4/2P4R/2Q2RK1 w - - 2 34,h2h8 e5g3 g1h1 a8h8
r4rk1/1pq1ppbp/p4n2/4p3/2PnN1b1/3Q1N2/PPBB1PPP/R2R2K1 b - - 8 16,g4f3 e4f6 e7f6 d3h7
r3r1k1/pp1R1ppp/2p5/3N4/8/5QP1/PP5P/4qBK1 b - - 2 22,c6d5 f3f7 g8h8 f7g7
r3k2r/1pp2ppp/p1b1p3/4N1q1/1Q1Pn3/B1P5/P4PPP/R3K2R w KQkq - 2 14,e5c6 g5d2 e1f1 d2f2
r2qk2r/1ppn2bp/3p4/p2Pp1Np/2P1PP2/2N3P1/PP2Q3/R1B1K3 b Qkq - 1 15,e5f4 e2h5 e8e7 h5f7
3r2k1/1p1r1p2/p4Qpp/8/5R1R/PP1p2PP/5P1K/2q5 b - - 3 33,g8h7 h4h6 h7h6 f4h4
6k1/pp3ppp/4p1P1/3pP2P/1q1P4/1r6/1P1R4/1K3Q2 b - - 0 39,b4d2 f1f7 g8h8 f7f8
2r2rk1/p1b2pp1/1npq1n1p/3p4/1P1Pp3/P3P2P/1BRNBPP1/Q1R3K1 w - - 12 21,c2c6 d6h2 g1f1 h2h1
5r1k/pb1qR2p/3p2pN/2p5/2N5/1P1rQ3/P5PP/6K1 w - - 2 28,e7d7 d3d1 e3e1 d1e1
8/ppk3p1/2p1Qn2/2b2r2/8/1P3PNP/q1P3P1/2KR4 w - - 2 25,e6f5 c5e3 d1d2 a2a1
4Q3/4R1pk/3p3p/4p3/4Pn2/3n1P2/P5PP/2r2NK1 w - - 5 30,e8f7 f4e2 g1h1 c1f1
rn3b1r/ppp1kBpp/8/3Q4/8/4K3/PP1P1P1P/R1B2bq1 b - - 2 13,b8c6 d5e6 e7d8 e6e8
8/5p1k/Q2p2pp/1p1P4/1P1b1P2/P4NP1/5qBP/7K w - - 1 38,f3d4 f2e1 g2f1 e1f1
1k1r1r2/p1p5/4R3/3p3N/1Pn3P1/R6P/P1P5/2K5 w - - 1 31,a3c3 f8f1 e6e1 f1e1
3r2k1/3R1ppp/p7/1p6/3P4/4PQ2/qP4PP/5RK1 b - - 0 24,d8d7 f3a8 d7d8 a8d8
1QR5/5p1k/4p3/3p2pp/3PnK2/4P2P/Q5P1/7q w - - 0 39,f4e5 h1h2 g2g3 h2g3
6rk/6pb/p1p1r3/1pPpBp2/5Pq1/1PQ1P1R1/P4KP1/8 b - - 1 44,g4h5 e5g7 g8g7 c3g7
4r3/pp3pk1/2p4p/4b1q1/P3Q3/3B3P/1PP3P1/5R1K b - - 2 35,g5g3 e4h7 g7f8 h7f7
r6r/p4pk1/2p1p1np/2PpP2Q/3P1N1R/4q3/P5P1/5R1K b - - 5 30,g6h4 f4e6 f7e6 h5f7
6k1/2p3pp/p7/5N2/3b4/7P/P2r4/5R1K b - - 4 40,c7c5 f5e7 g8h8 f1f8
5r1k/4Q2p/8/5p2/2B1p3/4P1P1/5P2/r1q2NK1 b - - 3 40,a1a8 e7e5 f8f6 e5f6
r4rk1/1pq2pp1/p1p1pn1p/8/P2P2N1/4P3/1PQ2PPb/1BR2R1K b - - 1 20,h2d6 g4f6 g7f6 c2h7
1k1r3r/3qb2p/p1p2p2/Q3pN1b/P3Pp2/2P4P/1P1N1PP1/R3K2R w KQ - 1 21,d2c4 d7d1 a1d1 d8d1
5k2/6pp/1R3p2/P7/6PK/5r1P/8/8 w - - 1 40,a5a6 g7g5 h4h5 f3h3
2kr1r2/p7/2p1bp2/3p4/1Q3B2/7P/3N1K2/q7 b - - 1 40,c8d7 b4d6 d7e8 d6e6
6R1/8/3N1k1p/5pp1/8/4PBK1/2r3P1/7r w - - 0 42,e3e4 f5f4 g3g4 h6h5
8/5p1k/6p1/2pPQ2p/8/2P3P1/rq3nBP/5RK1 w - - 4 29,e5f4 f2h3 g2h3 b2h2
r1b1Qq2/p5k1/1p2p3/3pP3/3P3P/2b2r2/PP3P2/1K4R1 b - - 1 24,g7h8 e8h5 f8h6 h5h6
4r1k1/pp3pp1/6p1/8/2P5/BP6/P1np1PPP/3R1K2 w - - 2 25,a3b2 e8e1 d1e1 d2e1q
8/1p4k1/2p1bqnp/2P5/1P2Q3/7P/r4PPB/3RR1K1 w - - 0 35,e4e6 f6f2 g1h1 f2g2
r7/pp1kp3/n1p2p2/q1N5/3P4/2P4Q/PP3P1P/2KR2r1 b - - 1 21,d7c7 h3d7 c7b6 d7b7
r1b2rk1/p4ppp/2pQ4/q7/8/2P2N2/P1P2PPP/2KRR3 b - - 0 14,a5a2 d6f8 g8f8 d1d8
r1b2rk1/pp3p2/1qnp1bB1/4p1Np/3P3P/2P5/PPQN1PP1/R3K2R b KQ - 0 13,f7g6 c2g6 f6g7 g6h7
1rb3k1/pp4pP/2pp1qQ1/6b1/2PP4/P4p2/1P3PP1/3K1B1R b - - 0 24,g8h8 g6e8 f6f8 e8f8
8/6k1/6p1/P6p/3q3P/5BP1/4Q1K1/3q2b1 w - - 0 49,e2d1 d4f2 g2h3 f2h2
5k2/3n1b2/3p1p2/4pQ2/1p2P3/qN1PB3/r1P2P2/1K1R3R w - - 0 30,e3c1 a2a1 b3a1 a3a2
r1r3k1/5pp1/pq1p1b1B/3P4/4Q1P1/7N/1P5P/1K1R3R w - - 3 25,h6c1 c8c1 d1c1 b6b2
r3Q2R/pb4qk/nbp5/1p1p2P1/3P4/2P1B3/PP4PP/6K1 b - - 7 24,g7h8 g5g6 h7g7 e8f7
r4r1k/6p1/2pQ4/3pB1KP/3P2P1/8/p4q2/R7 b - - 3 41,a8e8 d6h6 h8g8 h6g7
8/p3k1p1/2p1pp1p/2Pn4/3K4/1P1B1rPP/P2R1P2/8 w - - 0 37,d3e4 e6e5 d4c4 f3c3
r1b3rk/2p4p/pp2p2P/5p1q/3Q4/P6P/1P4PK/8 b - - 2 27,e6e5 d4e5 g8g7 e5g7
5r1k/2r1q1pp/pn3p2/1p1ppP2/3pP3/PB1P3R/1PP2QPP/1R4K1 b - - 1 26,d5e4 h3h7 h8h7 f2h4
4Q3/6pk/3bp2p/8/3Pp2q/1P5b/5P1P/6RK b - - 3 31,h4f4 e8g6 h7h8 g6g7
4r2k/1p4p1/7p/8/5PQ1/2B3qP/PP4R1/4q2K w - - 0 37,c3e1 e8e1 g2g1 e1g1
7k/1pp3pp/1p2p3/4pq2/8/P1P3n1/1P4PP/3Q2K1 b - - 1 29,g3e4 d1d8 f5f8 d8f8
2rnq1k1/1p3p1p/p2R2pB/3P1p2/1P3Q2/P7/5PPP/2R3K1 w - - 1 31,f4d4 c8c1 h6c1 e8e1
2r2rk1/Q3Rppp/2q5/3p1b2/3Pn3/2N5/PP3PPP/R1B3K1 w - - 3 18,c3e4 c6c1 a1c1 c8c1
4r2k/3b2p1/5q1p/3Q4/3Np3/2P3R1/Pr3PPP/4R1K1 w - - 1 32,d5d7 f6f2 g1h1 f2e1
8/1pR2krp/p3p1p1/1q1p4/3PnP2/Q3P3/PP6/1K6 b - - 2 38,f7f6 a3f8 g7f7 f8f7
R7/8/8/p5k1/5R2/6P1/r5r1/5K2 b - - 16 54,g2b2 a8g8 g5h6 f4h4
r1b2k1r/pp1p1N1p/2nNp1p1/4P3/5P1q/6n1/2PP3P/R2QKB1R w KQ - 0 16,h2g3 h4g3 e1e2 c6d4
3kr2r/1p2R3/p5p1/2Np2Q1/5PP1/8/PP1q2K1/2R5 w - - 2 33,g2g3 d2h2 g3f3 h8h3
6r1/6nk/3p4/2pPp1R1/1pP1PpR1/1P3q1P/7K/8 b - - 1 37,f3e4 g4h4 g7h5 h4h5
2r2rk1/qp3p2/4p1RP/pB5Q/P2Pp3/4Pn2/1P3K2/R7 b - - 0 26,f7g6 h5g6 g8h8 g6g7
6k1/5ppp/2P1p3/4P3/2r5/5N1P/r5P1/1R4K1 b - - 0 27,c4c6 b1b8 c6c8 b8c8
4r1k1/3n1pP1/5n2/3p1q2/p1pP4/PpP2P2/1P1Q4/R1KBrN1R b - - 0 31,g8g7 d2h6 g7g8 h6h8
6qk/5p1n/p1bP3p/2p1b3/8/2N4P/1P5K/R1B2Q2 w - - 3 35,c1f4 e5f4 f1f4 g8g2
4r1rk/6p1/p3p1Qp/3b1p2/5q2/3P3R/PP4PP/5RNK b - - 1 28,f4f1 h3h6 g7h6 g6h6
6k1/3n2p1/1p1p3p/pPpNqr2/2P5/1P1P3Q/6PP/R6K w - - 2 29,h3f5 e5a1 f5f1 a1f1
1R4k1/3r2p1/4p2p/q3p2P/7R/4QP2/P2r2P1/5K2 b - - 9 33,g8h7 e3e4 g7g6 e4g6
3qr1k1/pR4p1/6p1/3Pp3/1P2P3/Pr5P/6P1/2B1bQK1 b - - 0 29,e1h4 f1f7 g8h8 f7g7
4Q3/p5pk/1p2p2p/2p1Pr2/2Pq1P2/P7/KP4RP/8 b - - 6 36,d4f4 e8g6 h7h8 g6g7
1r5Q/pb2krp1/1p1p1q2/1P1P4/P7/8/6PP/1BBR3K w - - 3 29,h8b8 f6f1 d1f1 f7f1
8/1R3Rb1/6pk/7p/5P2/2p2BPK/2r3P1/4r3 w - - 1 34,g3g4 e1h1 h3g3 h5h4
7r/p2q2k1/R2p2p1/3Qp3/1P2Pp2/5P2/5PK1/8 w - - 3 28,a6d6 d7h3 g2g1 h3h1
r3k2r/p1Q2p2/8/1N2pb2/2p2q2/8/PPP4P/1K1R4 b q - 0 23,h8h2 b5d6 e8f8 c7f7
r5k1/1b2rpp1/2p4p/p2pPQ2/R1Pq1P2/3B2P1/7P/4RK2 b - - 2 27,b7c8 f5h7 g8f8 h7h8
2k1r3/1p2r2p/pBbQP1p1/8/P1P2P2/6Pq/3R3P/b5K1 b - - 1 33,h3e6 d6d8 e8d8 d2d8
r1b2r2/pp2p1k1/1q3np1/8/2B2P2/8/PPP1QP2/2K4R b - - 0 22,c8g4 e2e7 f8f7 e7f7
8/8/2pp1k1R/3p1p2/3p4/4P3/4KP2/2r5 b - - 1 44,f6e5 f2f4 e5e4 h6e6
7r/8/p2p2k1/2NPbR2/2P2PP1/8/6Kr/5R2 w - - 1 42,g2f3 h8h3 f3e4 h2e2
r4rk1/pR3Rp1/4p2p/4p2Q/3pP3/3q3P/P5P1/6K1 b - - 1 20,f8f7 h5f7 g8h8 f7g7
8/3r3p/8/8/3p3P/R2p4/1r2k1R1/6K1 b - - 0 50,e2e1 a3a1 b2b1 a1b1
r6k/p3b2p/1pP5/8/2p2Pb1/2P2N2/PP3B2/2K3R1 b - - 2 28,g4f3 f2d4 e7f6 d4f6
r1b4r/pp2kp2/2p1p1pp/2P3P1/1PR1Nn1P/P3q3/4B3/3QK2R b K - 3 21,h6g5 d1d6 e7e8 e4f6
6k1/1p3ppp/p1p1q3/P3p2n/1Pn1P2Q/2B2P1P/r3rPB1/1R3RK1 b - - 6 28,h5f4 h4d8 e6e8 d8e8
3r3k/p4Npp/1p4p1/3QP3/3P2q1/1P6/1PPKnr2/3R4 b - - 6 35,f2f7 d5d8 f7f8 d8f8
3r3k/8/b4pp1/4p2p/2N1Pb2/1B1R3P/2QN1qPK/8 w - - 1 36,h2h1 f2e1 d2f1 e1f1
1k3r2/ppq1b1p1/2p1Q3/6Bp/P2P2nP/2P5/1P3PP1/R3R1K1 w - - 5 24,g5e7 c7h2 g1f1 f8f2
r4r2/2q1b1pk/2p1pn1p/p1PpNp1B/Pp1PbP2/1P2P2P/1B4P1/2RQ1RK1 b - - 5 20,f8g8 h5g6 h7h8 e5f7
5r1k/p6p/5qp1/2p5/P1Q1p3/1P2P2P/2PN2PB/6K1 w - - 2 27,d2e4 f6a1 c4f1 f8f1
4r1k1/r3P2p/2p1NR2/p2p4/1p1P4/nP6/P4RPP/6K1 b - - 0 31,a7e7 f6f8 e8f8 f2f8
5r1k/6pp/q1p5/3n3Q/4p3/1P2P3/P1PP2PP/3K3R w - - 0 27,a2a4 f8f1 h1f1 a6f1
rnbq1rk1/ppp2p2/4pP1p/3p4/1bPP3p/2N2Q2/PP3PPP/R3KBNR b KQ - 1 9,b8d7 f3g4 g8h8 g4g7
7k/p4pp1/1p2pq1p/3b4/3P2QP/1P1B1P2/P5PK/8 b - - 0 29,e6e5 g4c8 f6d8 c8d8
5rk1/p5pp/2Rp4/8/4P1QP/3p2PK/PP5q/5r2 w - - 0 33,h3h2 f8f2 h2h3 f1h1
